movie_id,title,release_date,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,The Love,01-Jan-1995,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,Return of Light,01-Jan-1995,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Lost Shadow,01-Jan-1995,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,The Storm,01-Jan-1995,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5,Lost Sky 2,01-Jan-1995,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
6,Lost Sun 2,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7,Hidden Love,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
8,The Night,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
9,Last Love,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Last Light,01-Jan-1995,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
11,Last Star 2,01-Jan-1995,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
12,The River,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,Dark Shadow,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14,Hidden Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
15,A Journey,01-Jan-1995,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
16,Fall of Shadow,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,A Moon,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,Last Night,01-Jan-1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Rise of Love,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,A Sky,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Lost War,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Dark Love,01-Jan-1995,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Lost War,01-Jan-1995,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24,The War,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Last Moon,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Rise of Forest,01-Jan-1995,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27,Last Dream,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
28,Dark River,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,Rise of Ocean 2,01-Jan-1995,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30,Hidden Sun,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
31,Dark Star,01-Jan-1995,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32,Return of Desert,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,The Light,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Return of Sun,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Dark Moon,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
36,Silent Desert,01-Jan-1995,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
37,Lost Storm,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,A Ocean,01-Jan-1995,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
39,Last Light,01-Jan-1995,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,Return of River,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Fall of Desert 4,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Lost Light,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
43,Fall of Desert,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,Return of Star,01-Jan-1995,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,Lost Desert,01-Jan-1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,Hidden Gate,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
47,A Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
48,Fall of War,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,A Shadow 4,01-Jan-1995,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
50,A Ocean,01-Jan-1995,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
51,Return of Mountain,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,Return of Love,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Hidden Sun,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
54,Lost Dream,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Dark Star,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
56,Lost River,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,A Gate 2,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,Rise of Forest 4,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,A Journey,01-Jan-1995,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
60,The Gate,01-Jan-1995,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,Fall of Mountain 2,01-Jan-1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
62,Return of Forest,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,Rise of Mountain,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Rise of Light,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Last Sun 3,01-Jan-1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
66,The Light,01-Jan-1995,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
67,Last Light 4,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,Rise of Ocean,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,Dark Night,01-Jan-1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Rise of Shadow,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
71,Lost Light,01-Jan-1995,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72,The Shadow 4,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Rise of Night,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
74,Silent Dream,01-Jan-1995,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,The Night,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Dark Love,01-Jan-1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,Silent Fire,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
78,Lost Mountain,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,Fall of Dream,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,Hidden Ocean,01-Jan-1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
81,The Journey 3,01-Jan-1995,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,Lost Desert,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,Lost Shadow,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,A Sky,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Dark Light 2,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
86,Hidden War,01-Jan-1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,The Sky,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Hidden Forest 4,01-Jan-1995,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
89,Fall of Dream,01-Jan-1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Last War,01-Jan-1995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,Return of Fire,01-Jan-1995,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,A Storm,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
93,Hidden Light,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
94,Lost Love 2,01-Jan-1995,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
95,A War 3,01-Jan-1995,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
96,Return of River,01-Jan-1995,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
97,Fall of Sky,01-Jan-1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,Lost Storm,01-Jan-1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
99,Lost Fire,01-Jan-1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
100,A City,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,A Ocean,01-Jan-1995,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,Fall of Sky,01-Jan-1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Last Dream,01-Jan-1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,Fall of Desert,01-Jan-1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
